 	)	i	1	=	f	4	t	(	h	e	n	l	3	s	w	d	/	o	>	<	+	-	*	2	#	E	H	P	A	C	S	J	B	T	D	F	
0		s4	s3												s5													1			2						
1																									acc												
2		s4	s3												s5													7	6		2						
3				s9																																	
4					s10																																
5									s11																												
6																									r1												
7																									r2												
8																									r3												
9			s16			s19		s15					s18											s17		12								13		14	
10			s25			s28		s24					s27											s26		21				20				22		23	
11		s29																																			
12		r4	r4												r4										r4												
13																					s31	s32											30				
14																	s36						s35												34		
15			s42			s45		s41					s44											s43		38								39		40	
16		r22	r22												r22		r22				r22	r22	r22		r22												
17		r23	r23												r23		r23				r23	r23	r23		r23												
18		r24	r24												r24		r24				r24	r24	r24		r24												
19		r25	r25												r25		r25				r25	r25	r25		r25												
20							s46																														
21				s50															s48	s49												47					
22																					s52	s53											51				
23																	s57						s56												55		
24			s42			s45		s41					s44											s43		59								39		40	
25				r22													r22		r22	r22	r22	r22	r22														
26				r23													r23		r23	r23	r23	r23	r23														
27				r24													r24		r24	r24	r24	r24	r24														
28				r25													r25		r25	r25	r25	r25	r25														
29												s60																									
30		r13	r13												r13										r13												
31			s16			s19		s15					s18											s17										61		14	
32			s16			s19		s15					s18											s17										62		14	
33		r16	r16												r16										r16												
34		r17	r17												r17						r17	r17			r17												
35			s16			s19		s15					s18											s17												63	
36			s16			s19		s15					s18											s17												64	
37		r20	r20												r20						r20	r20			r20												
38	s65																																				
39																					s67	s68											66				
40																	s72						s71												70		
41			s42			s45		s41					s44											s43		74								39		40	
42	r22																r22				r22	r22	r22														
43	r23																r23				r23	r23	r23														
44	r24																r24				r24	r24	r24														
45	r25																r25				r25	r25	r25														
46									s75																												
47							r9																														
48			s80			s83		s79					s82											s81		76								77		78	
49			s80			s83		s79					s82											s81		84								77		78	
50			s80			s83		s79					s82											s81		85								77		78	
51				r13															r13	r13																	
52			s25			s28		s24					s27											s26										86		23	
53			s25			s28		s24					s27											s26										87		23	
54				r16															r16	r16																	
55				r17															r17	r17	r17	r17															
56			s25			s28		s24					s27											s26												88	
57			s25			s28		s24					s27											s26												89	
58				r20															r20	r20	r20	r20															
59	s90																																				
60										s91																											
61																					s31	s32											92				
62																					s31	s32											93				
63																	s36						s35												94		
64																	s36						s35												95		
65		r21	r21												r21		r21				r21	r21	r21		r21												
66	r13																																				
67			s42			s45		s41					s44											s43										96		40	
68			s42			s45		s41					s44											s43										97		40	
69	r16																																				
70	r17																				r17	r17															
71			s42			s45		s41					s44											s43												98	
72			s42			s45		s41					s44											s43												99	
73	r20																				r20	r20															
74	s100																																				
75										s101																											
76							r10																														
77																					s103	s104											102				
78																	s108						s107												106		
79			s42			s45		s41					s44											s43		110								39		40	
80							r22										r22				r22	r22	r22														
81							r23										r23				r23	r23	r23														
82							r24										r24				r24	r24	r24														
83							r25										r25				r25	r25	r25														
84							r11																														
85							r12																														
86																					s52	s53											111				
87																					s52	s53											112				
88																	s57						s56												113		
89																	s57						s56												114		
90				r21													r21		r21	r21	r21	r21	r21														
91			s25			s28		s24					s27											s26		116				115				22		23	
92		r14	r14												r14										r14												
93		r15	r15												r15										r15												
94		r18	r18												r18						r18	r18			r18												
95		r19	r19												r19						r19	r19			r19												
96																					s67	s68											117				
97																					s67	s68											118				
98																	s72						s71												119		
99																	s72						s71												120		
100	r21																r21				r21	r21	r21														
101											s121																										
102							r13																														
103			s80			s83		s79					s82											s81										122		78	
104			s80			s83		s79					s82											s81										123		78	
105							r16																														
106							r17														r17	r17															
107			s80			s83		s79					s82											s81												124	
108			s80			s83		s79					s82											s81												125	
109							r20														r20	r20															
110	s126																																				
111				r14															r14	r14																	
112				r15															r15	r15																	
113				r18															r18	r18	r18	r18															
114				r19															r19	r19	r19	r19															
115																s127																					
116				s131															s129	s130												128					
117	r14																																				
118	r15																																				
119	r18																				r18	r18															
120	r19																				r19	r19															
121		s134	s133												s135																132						
122																					s103	s104											136				
123																					s103	s104											137				
124																	s108						s107												138		
125																	s108						s107												139		
126							r21										r21				r21	r21	r21														
127																		s140																			
128																r9																					
129			s145			s148		s144					s147											s146		141								142		143	
130			s145			s148		s144					s147											s146		149								142		143	
131			s145			s148		s144					s147											s146		150								142		143	
132										s152																	151										
133				s154																																	
134					s155																																
135									s156																												
136							r14																														
137							r15																														
138							r18														r18	r18															
139							r19														r19	r19															
140		s4	s3												s5																157						
141																r10																					
142																					s159	s160											158				
143																	s164						s163												162		
144			s42			s45		s41					s44											s43		166								39		40	
145																r22	r22				r22	r22	r22														
146																r23	r23				r23	r23	r23														
